id,tweets,likes,retweets,Tweet_Score,time,followers,friends,User_Score,location,key_word,inclakeontario
1.46568E+18,"Mayor: Grease blockage caused sewage leak at Trenton, NJ apartments https://t.co/0rRLx5BQXP
Sewage Cleanup Chicago, Evanston, Skokie, Wilmette, Glenview, Lake Forest, Highland Park
https://t.co/dVrF4O2sXF
#sewagecleanupchicago #Evanston #Skokie #Wilmette #Glenview #Northbrook https://t.co/yZoKsFQzlh",1,0,1,11/30/2021 13:46,1557,2581,6719,"Chicago, IL",lake cleanup,0
1.46554E+18,RT @LivingRv: Lots of cleanup around Cultus Lake. #llrv https://t.co/zJOAA4Xc8b,0,1,2,11/30/2021 4:54,118,252,622,,lake cleanup,0
1.46534E+18,Enbridge Energy says its cleanup effort near Blackhawk Island Road west of Fort Atkinson after a chemical spill in 2019 that wasn't reported to the state Department of Natural Resources until 2020 “continues to progress very nicely.” https://t.co/mN8IhZ8u39,0,0,0,11/29/2021 15:25,5525,251,6027,"Janesville, Wis.",lake cleanup,0
1.46509E+18,"@AnalogDreamer @benkershner @aaronkfoley Also we have our own Torch Lake, but it's a superfund site due to copper mining. Or, it was. It's much better now after significant cleanup efforts.",1,0,1,11/28/2021 22:37,516,913,2342,,lake cleanup,0
1.46489E+18,RT @A_MADHU: Powai Lake algae or water afforestation almost reaching the lake mid point ... Requesting authorities to act &amp; cleanup @mybmcW…,0,1,2,11/28/2021 9:46,4951,71,5093,"iPhone:,",lake cleanup,0
1.46489E+18,Powai Lake algae or water afforestation almost reaching the lake mid point ... Requesting authorities to act &amp; cleanup @mybmcWardS @AUThackeray @powaiinfo @mybmcHydEngg @mayor_mumbai https://t.co/PZHtRKt0eU,3,1,5,11/28/2021 9:43,141,366,873,Mumbai,lake cleanup,0
1.46485E+18,Lots of cleanup around Cultus Lake. #llrv https://t.co/zJOAA4Xc8b,1,1,3,11/28/2021 6:36,828,1080,2988,,lake cleanup,0
1.46484E+18,"@quincypop1 @EmpressTrash @line_art_nfts tomorrow have a big day omg, gotta cleanup after the fair, then heading to silver lake to meet some friends for lunch and then onto the fam in torrance for dinner... a bit tired just thinking about it 😅",3,0,3,11/28/2021 6:16,5319,5008,15335,u n i should make verses,lake cleanup,0
1.46469E+18,"Cal OES debris program working on cleanup in Lake County, across the state - https://t.co/ahK0wiY3bz",1,0,1,11/27/2021 20:30,4334,2298,8930,Lake County California,lake cleanup,0
1.46465E+18,"All The Humankinds are invited for a cleanup drive on 28 Nov. 2021 at Mansagar lake (JAL-MAHAL) Jaipur. At 08.00 am onward.
#kshitizfoundation
#cleanthecity

Facebook -
https://t.co/KtNidaANZG
Instagram -
https://t.co/mTDIGSr9FI
YouTube -
https://t.co/I9jDKHD6tH https://t.co/rJyYyMHA37",0,0,0,11/27/2021 17:58,3,0,3,Jaipur 302019,lake cleanup,0
1.46464E+18,"RT @batdouken: a lot of things that could be done to help, especially since the pandemic. I'd like to organize some simple cleanup projects…",0,3,6,11/27/2021 16:41,116,402,920,,lake cleanup,0
1.46464E+18,"RT @batdouken: a lot of things that could be done to help, especially since the pandemic. I'd like to organize some simple cleanup projects…",0,3,6,11/27/2021 16:39,87,395,877,,lake cleanup,0
1.46463E+18,"RT @batdouken: a lot of things that could be done to help, especially since the pandemic. I'd like to organize some simple cleanup projects…",0,3,6,11/27/2021 16:34,277,393,1063,,lake cleanup,0
1.46463E+18,"a lot of things that could be done to help, especially since the pandemic. I'd like to organize some simple cleanup projects: city, park, creek, lake. It feels good to give back and help your community and as #OCEAN NAVY grows I hope it's something we can all focus on.",3,3,9,11/27/2021 16:23,36,33,102,,lake cleanup,0
1.46436E+18,"Washington county's flood damages could reach $50 million https://t.co/lUqqRYIm7t
Flood Damage Repairs Near Me Chicago, Evanston, Skokie, Wilmette, Glenview, Lake Forest
https://t.co/2WlvdwWqe7
#flooddamagerepairsnearme #Chicago #Evanston #Skokie #Wilmette #Glenview #LakeForest https://t.co/7Lct1QgK2B",1,0,1,11/26/2021 22:30,1557,2581,6719,"Chicago, IL",lake cleanup,0
1.46427E+18,"RT @markstrahl: Met with Joe Lamb, CAO of #CultusLake and toured the devastation caused by the flooding there. There will be a lot of clean…",0,3,6,11/26/2021 16:18,990,2807,6604,"Ontario, Canada",lake cleanup,0
1.46426E+18,"RT @markstrahl: Met with Joe Lamb, CAO of #CultusLake and toured the devastation caused by the flooding there. There will be a lot of clean…",0,3,6,11/26/2021 15:57,25521,1478,28477,"Regina, SK / Ottawa, ON",lake cleanup,0
1.46426E+18,"RT @markstrahl: Met with Joe Lamb, CAO of #CultusLake and toured the devastation caused by the flooding there. There will be a lot of clean…",0,3,6,11/26/2021 15:50,6357,7,6371,"BC, Canada",lake cleanup,0
1.46426E+18,"Met with Joe Lamb, CAO of #CultusLake and toured the devastation caused by the flooding there. There will be a lot of cleanup required at the lake, including repairing damage to docks and culverts. I’m working with all levels of government as we rebuild from the #BCStorm. https://t.co/lnDqG26uXY",17,3,23,11/26/2021 15:38,11721,1029,13779,"Chilliwack, British Columbia",lake cleanup,0
1.46423E+18,"Extra alarm fire damages popular restaurant, Oak Park https://t.co/8Nuj6dMdtI
Fire Restoration and Cleanup Chicago, Oak Park, River Forest, Forest Park, Riverside, Brookfield, Elmwood Park
https://t.co/FwXvihmmSH
#firerestorationandcleanupchicago #OakPark #RiverForest #Riverside https://t.co/8sNSw8MKr6",1,0,1,11/26/2021 13:46,1557,2581,6719,"Chicago, IL",lake cleanup,0
1.46389E+18,Today morning our eco team went to the Qudra lake for a desert cleanup with @dgradeclothing . They did an amazing job 👏🏼🍃 Well done team! @RWADubai @RWA_Eco https://t.co/m03dMEznak,0,0,0,11/25/2021 15:32,359,170,699,"Dubai, United Arab Emirates",lake cleanup,0
1.46372E+18,"RT @GuildPark: 59 plastic straws were found along Guildwood's Lake Ontario shoreline during a recent shoreline cleanup.  To date, 605 plast…",0,2,4,11/25/2021 3:58,7177,7553,22283,"Toronto, Ontario",lake cleanup,0
1.46372E+18,"RT @GuildPark: 59 plastic straws were found along Guildwood's Lake Ontario shoreline during a recent shoreline cleanup.  To date, 605 plast…",0,2,4,11/25/2021 3:49,632,2408,5448,"Toronto, Ontario",lake cleanup,0
1.46372E+18,"59 plastic straws were found along Guildwood's Lake Ontario shoreline during a recent shoreline cleanup.  To date, 605 plastic straws (&amp; 127 stirrers) have been found this year.
#Guildwood #LakeOntario #ShorelineCleanups #trash #litter #PlasticStraws https://t.co/rcpIHQZ8DR",12,2,16,11/25/2021 3:46,689,181,1051,"201 Guildwood Parkway, Toronto",lake cleanup,0
1.46365E+18,RT @lifepath23: This is the kind of crap we have let corporations get away with for decades and they expect us to use our tax dollars to cl…,0,2,4,11/24/2021 23:38,1017,2035,5087,NYC,lake cleanup,0
1.46364E+18,RT @lifepath23: This is the kind of crap we have let corporations get away with for decades and they expect us to use our tax dollars to cl…,0,2,4,11/24/2021 23:00,4183,5003,14189,Merley Wimborne Dorset England,lake cleanup,0
1.46364E+18,"This is the kind of crap we have let corporations get away with for decades and they expect us to use our tax dollars to clean up after them This must end All corporations need to start being charged for the massive amount of cleanup required How dare they
https://t.co/BoYnrcdFh0",2,2,6,11/24/2021 22:51,5829,5978,17785,Mother Earth,lake cleanup,0
1.46361E+18,"New York State releases cleanup plans for former Bethlehem Steel site in Lackawanna

will address site-wide contamination and provide public access to Lake Erie for the first time in more than 100 years.

#GreatLakes 

https://t.co/ICaJ9xjThF",1,0,1,11/24/2021 20:31,6628,4090,14808,"Manitowoc, WI",lake cleanup,0
1.46359E+18,RT @OPP_COMM_WR: ROAD CLOSURE: Bruce Rd 86 between Paradise Lake Rd and St Helens Line #Lucknow: Roadway closed for cleanup following a col…,0,2,4,11/24/2021 19:30,1552,3690,8932,"London, Ontario Canada",lake cleanup,0
1.46359E+18,The state said it will address site-wide contamination and provide public access to Lake Erie. https://t.co/5HRC5jWB30,0,0,0,11/24/2021 19:15,79156,1456,82068,Buffalo,lake cleanup,0
